score,outlier,mins,top_region,n_regions,regions,title,channel,subs,views,category,url
63,8.9,1.4,US,2,"CA, US",Maybe it’s time I played the lottery. #stonebeads #beadedbags #diy #craft,Melania Beadedbag,169000,1546526,Howto & Style,https://youtu.be/FD_2LPn_LhE
62,5.4,1.0,US,10,"AU, CA, CH, DK, GB, IE, NL, NO, SE, US",surprise gift🥰💝🩷 #pet #cat #dog #cute #animals #foryou #type,Aloys Rove,1030000,5541849,Pets & Animals,https://youtu.be/VuCtDXvDijk
62,0.5,0.2,US,14,"AT, AU, CA, CH, DE, DK, FR, GB, IE, IT, NL, NO, SE, US",I love this trend,Brooke Monk,11600000,6058028,Pets & Animals,https://youtu.be/6y-jzeRVkdM
62,21.7,0.4,NO,6,"AT, CH, DE, NL, NO, SE",spring bike,CANAL DA SOLDA,257000,5606110,Autos & Vehicles,https://youtu.be/YTK1nxBWl7U
62,34.9,0.8,US,2,"GB, US",Ranking The Funniest Baby With Animals Moments #usa,BOBs ranking,69400,2424877,Pets & Animals,https://youtu.be/DDsXVI0VC9w
62,0.1,0.3,US,10,"CA, CH, DK, FR, GB, IE, NL, NO, SE, US",BTS REVEAL! 🎬 Jasmin is defying gravity… 😱 #shorts,Jasmin and James,41400000,4196193,Howto & Style,https://youtu.be/2Csgf6tPE3M
62,32.1,1.9,US,2,"IE, US",She can understand what animals are saying🤣|Dr.Dolittle | Rather be (0.8x)#shorts,Honat zco,133000,4271099,Pets & Animals,https://youtu.be/LZ5sx7wePYA
62,4.9,0.6,NO,10,"AU, CA, CH, DK, GB, IE, NL, NO, SE, US",No such thing as “not a cat person” 😊 #cats #catsofyoutube #catvideos #funnycats #catshorts,Jared_and_Milo,1620000,7957153,Pets & Animals,https://youtu.be/XwlXqud2ZGw
61,226.3,0.2,NO,2,"DK, NO",🧠 ACTIVETRACK IS A GAME CHANGER / Don’t forget to check the description 🎰,The Digital Camera Club,28800,6523199,Science & Tech,https://youtu.be/LbqhOhjBwiM
61,14.3,155.2,GB,1,GB,FULL BUILD - I REBUILT A CRASHED DAMAGED FERRARI 458,Mat Armstrong Full Builds,73200,1044918,Autos & Vehicles,https://youtu.be/_zPDvt7P1Ow
61,0.1,1.6,US,15,"AT, AU, CA, CH, DE, DK, ES, FR, GB, IE, IT, NL, NO, SE, US",Chapter 7 Season 4: Override | Official Trailer,Fortnite,13700000,1467346,Gaming,https://youtu.be/9AsEwQJiQQE
61,184.8,0.2,GB,2,"GB, IE",This Artist Fooled Everyone,Andri Labs,18700,3456488,Howto & Style,https://youtu.be/bYxodDtuBug
61,2.3,1.0,US,13,"AT, AU, CA, CH, DE, DK, GB, IE, IT, NL, NO, SE, US",A 3D Printed Key can UNLOCK Every Suitcase 😭,Nathan Espinoza,2130000,4828625,Science & Tech,https://youtu.be/EKzPGTXgCWU
61,6.9,0.7,US,12,"AT, AU, CA, CH, DE, DK, GB, IE, NL, NO, SE, US",His Body Language Changed IMMEDIATELY,Red Shorts Politics,998000,6902961,Comedy,https://youtu.be/L5hRrr7kmlQ
60,243.0,0.5,NO,4,"DK, IE, NO, SE",Major Payne 1995 Rain Mud And Pure Military Chaos #usa #comedy #bestscenes,VL Films,21900,5328884,Comedy,https://youtu.be/XasmL6mdQVQ
60,27.4,0.9,US,4,"AU, CA, GB, US",INSANE Switch Easter Egg?! #retrogaming #nintendo #shorts,Rob Law,61100,1674811,Science & Tech,https://youtu.be/wPdGVZVwkpA
60,91.1,0.5,US,5,"AU, CA, GB, NL, US",Free Slurpees Had Every Biker Pulling Up 😂 via (@OnewayAdrian),Roadzy,114000,10399305,Entertainment,https://youtu.be/uxA4Nv_nhlc
60,0.8,1.3,US,11,"AT, AU, CA, DE, DK, GB, IT, NL, NO, SE, US",VLC Just Called Out Microsoft,Zack Shutt,390000,317802,Science & Tech,https://youtu.be/QaB9WcWjTVw
60,14.7,0.2,US,4,"AU, CA, GB, US",The most innocent misunderstanding 🥹❤️,lecreerus,903000,13274446,Howto & Style,https://youtu.be/G_TfTY7P-gI
60,22.1,0.5,US,5,"AU, CA, GB, IE, US",She Needed Police After This Road Rage Chase 😨,udsaved,120000,2653621,Autos & Vehicles,https://youtu.be/78l99bUMy6I
60,1.6,0.5,US,9,"AT, CA, DE, ES, FR, GB, IE, IT, US",STRAWBERRY FUN CHALLENGE !,SYSTEMBLOXY,352000,552872,Gaming,https://youtu.be/b91g9G3mfOw
60,20.6,0.2,NO,11,"AT, AU, CA, CH, DE, DK, GB, IE, NL, NO, SE",Speed felt bad for interrupting their meal 😂,Fazi Edits,195000,4043931,Entertainment,https://youtu.be/s9rTy17VW9g
60,934.5,2.5,IE,1,IE,Massive Ice Falls From Wind Turbine 😱 | Incredible Frozen Blade Moment #shorts,Rahul Bhatiya Vlogging,41600,38875115,Howto & Style,https://youtu.be/PM1Op37NbWU
60,225.0,0.8,CH,3,"CH, ES, PL",Tom Holland Reacts 😂 | Try Not To Laugh #reaction #tomholland #trynottolaugh #funny,Tom React 1M,71100,16020899,Comedy,https://youtu.be/jQGSckPjE4E
60,109.9,0.2,CH,3,"CH, DE, IT",Bro Turned His Wedding Into a Drift Show.💀🔥#trending #car #caredit #edit #driving,Midnight Autocar,65400,7210824,Autos & Vehicles,https://youtu.be/e1IcwEY3F6M
60,200.4,2.0,US,2,"GB, US",Never Trust a Friendly Stranger with Your Bike!,Osharejemre Favour,14000,2811780,Comedy,https://youtu.be/HNxs4tkncDU
60,17.1,0.5,US,7,"CA, DK, IE, NL, NO, SE, US",THE BIGGER SLICE...,Joshua,90700,1595498,Entertainment,https://youtu.be/-0BUQnfn368
60,32.3,0.3,NO,7,"AT, CH, DE, DK, NL, NO, SE",SL over Pagani😮‍💨#mercedesbenz #pagani #sl500,bavarian,47500,1535058,Autos & Vehicles,https://youtu.be/HVesCbCnAEw
59,0.9,69.7,GB,9,"AU, CA, CH, DK, GB, IE, NL, NO, SE",I BOUGHT A WRECKED MCLAREN & REBUILT IT IN A WEEK,Mat Armstrong,7230000,6868449,Howto & Style,https://youtu.be/cIXm3rlFSXg
59,129.2,0.3,NO,3,"DK, IE, NO",Why You Should NEVER Park Your Car Here 🚗 ⚠️ #shorts #car,lemi,37100,4779710,Autos & Vehicles,https://youtu.be/nQcrANpsmHk
59,62.5,1.0,NO,5,"AU, DK, GB, NO, SE",“Most Terrific Monster” 🔥💀 | The New Mutant | House Of Memories (Slowed) | #trending #shorts,Lofiah-Edits,35500,2221415,Film & Animation,https://youtu.be/KwZ0SlWVq58
59,31.5,0.2,CH,3,"CH, IE, NL",Respect Women 💯💯🤯 Greatest Save 😇😇 #instantkarma #shorts #viral #viralvideo #viralshorts #trending,Usmani Shorts,243000,7665668,Howto & Style,https://youtu.be/M1auFneW3kY
59,0.2,65.2,US,10,"AU, CA, CH, DK, GB, IE, NL, NO, SE, US",SIDEMEN AMONG US BUT IF YOU REPORT A BODY YOU DIE,MoreSidemen,9750000,1969467,Gaming,https://youtu.be/XbnKkauxt60
59,5.2,2.0,US,12,"AT, AU, CA, CH, DE, DK, GB, IE, NL, NO, SE, US",His Aura Is Unmatched😎#series #edit #shorts,Rock Movie,1710000,8861828,Film & Animation,https://youtu.be/wcnDjuvkdj0
59,152.5,0.3,AU,1,AU,This Tiny Car Reaches 200 MPH!🚗💨,InScience,27500,4216463,Howto & Style,https://youtu.be/NTq4_7tS29o
58,45.7,0.9,US,2,"AU, US",She said MY BIKE was HERS 🤦‍♂️ #shorts,Oneway Ben,120000,5490723,Autos & Vehicles,https://youtu.be/z9h0SFYSxPQ
58,11.9,0.6,NO,8,"AT, CH, DK, FR, IE, IT, NO, SE",introducing the vitawear smartband a next-generation wearablegadget#shortsfeed#trending,The Animal Bd,1200000,14258864,Science & Tech,https://youtu.be/HlYbSfPjEow
58,1.5,125.1,NO,7,"AU, CH, DK, IE, NL, NO, SE",I Built Minecraft's Most Advanced Civilization,Parrot,4100000,6034006,Gaming,https://youtu.be/1EgS0othQe4
58,1.2,0.2,US,12,"AT, AU, CA, CH, DE, DK, FR, GB, NL, NO, SE, US",Owner was so confused about his exhaust ￼,Exotic Rubber,1310000,1565787,Autos & Vehicles,https://youtu.be/fvc0UWMllPc
58,87.2,0.3,US,5,"AU, CA, GB, IE, US",The Monster Used a Familiar Voice to Lure Him Out 😨 | A Hollow Tree (2023),The Panther Watches,82000,7153893,Entertainment,https://youtu.be/-ObApYIB65U
58,66.8,1.0,NO,1,NO,Funny water play😂 #funny #water #fail #tiktok #funnyvideo,Love pets-9527-3,22100,1479169,Howto & Style,https://youtu.be/kLHyE7KV_Rs
58,1.1,0.5,US,10,"AU, CA, CH, DK, GB, IE, NL, NO, SE, US",I “ruined” a $300 steak (on purpose),Chef Tyler,6300000,7254104,Howto & Style,https://youtu.be/_Rjnsd6QhO4
57,55.6,0.2,NO,1,NO,I guess we have matching bobs #bobs #honandfam,Hon & Fam,276000,15348251,Pets & Animals,https://youtu.be/00KyVjlFcwQ
57,47.5,0.2,NO,2,"CA, NO",When Referee Accuses Airsofter Of Cheating…,AirHard,97600,4648202,Howto & Style,https://youtu.be/c58Gulz9v2c
57,124.0,0.6,US,2,"GB, US",Child Humbles Ryan Reynolds,Criminal Pod,37700,4675019,Comedy,https://youtu.be/p8_9p4RJi9g
57,88.5,1.0,CH,3,"AT, CH, DE",Mit dem Fahrrad im Sessel-Lift,Jacques Wassong,17200,1524532,Howto & Style,https://youtu.be/g03-T8HFrJk
57,27.2,0.3,NO,5,"AT, CH, DK, NO, SE",Polite Biker Waited 8 Hours To Give Her Way,GigaCars,240000,6525666,Autos & Vehicles,https://youtu.be/rCXvDIHt5QM
57,0.2,1.1,US,12,"AU, CA, DE, DK, FR, GB, IE, IT, NL, NO, SE, US",PLAYSTATION DIGITAL CONTROLLER REVEALED #shorts,jacobweeby,2310000,509764,Science & Tech,https://youtu.be/jVbj-zNnfO8
57,38.2,0.3,NO,5,"CA, GB, IE, NO, SE",They Didn’t Expect That From This Magician,On Camera Motion,115000,4411879,Comedy,https://youtu.be/UFfUDwTI5IA
57,480.9,0.3,IE,1,IE,cute dogs and cute baby play a game 💕🥰,entertainment__rahul,126000,60186590,Pets & Animals,https://youtu.be/Iadlg05MAMQ
57,0.1,11.1,NO,9,"AU, CH, DK, ES, IE, IT, NL, NO, SE",skibidi toilet 80,skibidi,47400000,7039478,Gaming,https://youtu.be/R7ZbszVLFQs
56,166.0,0.3,DE,4,"DE, ES, FR, IT",This Superbike Transformed Into a Boat… And Nobody Saw It Coming!,Sketch Magic,23100,3822400,Autos & Vehicles,https://youtu.be/Z2n2wMvYrP8
56,62.3,0.3,US,2,"CA, US",Biker Jumps Over Him 🤯,Bad Biker,49000,3051795,Autos & Vehicles,https://youtu.be/kexkrPMJBEw
56,157.0,0.5,AU,2,"AU, DE",This Giant Dog Looks Like an Ancient Guardian#Neapolitan Mastiff#Farm#Puppy#Guard Dog#Mastiff,Gcudhkcgj,23300,3656122,Pets & Animals,https://youtu.be/ySjZ2EfhYeA
56,146.5,1.4,US,4,"AU, CA, GB, US",Bro did this on purpose 😂 #shorts #therookie,Strikespy,16100,2371414,Entertainment,https://youtu.be/L1M1NCr-IZE
56,345.6,0.3,US,2,"AU, US",Self Defense Instructor Has The BEST surprise,Mindwave,23200,8026540,Entertainment,https://youtu.be/Y-yhvx-2Q5Y
56,9.0,30.8,NO,1,NO,1 Chess GM (Magnus Carlsen) vs 10 YouTubers,Team Liquid Chess,78400,708072,Gaming,https://youtu.be/tpu_qvay6QU
56,24.2,0.3,US,1,US,Give him to me now he’s so cute,girlies mob,24500,594343,Pets & Animals,https://youtu.be/RNgdN14uvSY
56,1.0,76.0,NO,7,"AU, CH, DK, IE, NL, NO, SE","I Exposed Minecraft's ""Strongest"" Player",FlameFrags,2840000,2781774,Gaming,https://youtu.be/BkYekSPynVo
56,233.4,0.3,NO,3,"DK, NO, SE",My luck when I am in need of it! 😭😓 #memes #trending #shorts,Meme Alive,17700,4157294,Comedy,https://youtu.be/-Y4ZV8O3ax4
56,32.2,0.2,US,5,"AU, CA, IE, NO, US",#independence,Tnos,122000,3937755,Entertainment,https://youtu.be/TeZFTZ_frU8
56,34.1,0.2,US,6,"CA, DK, GB, IE, NO, US",When Enemy Gets Chased With A Chainsaw…,AirHard,97600,3349693,Entertainment,https://youtu.be/EWLo8X9F2OQ
55,1.1,2.2,US,11,"AT, AU, CA, CH, DK, GB, IE, NL, NO, SE, US",Avengers: Doomsday | Special Look | In Theaters December 18,Marvel Entertainment,23500000,26750828,Entertainment,https://youtu.be/X1aFkAkFASk
55,73.8,0.8,CH,2,"CH, FR",Les clients comme ça 😂😂 #humour #drole #sketch #eclipse #eclipse2026,Lydia,10200,753130,Pets & Animals,https://youtu.be/VZnU-g-bBRI
55,0.8,133.4,US,3,"CA, GB, US",🔴IF I LAUGH = STREAM ENDS🔴,Ninjagaming,937000,762079,Gaming,https://youtu.be/zkxArlWL2AU
