term,n_videos,n_regions,regions,weight,max_outlier,example_title,example_url
profile,2,9,"AT, AU, CH, DK, IE, NL, NO, SE, US",2840,1424.5,Link in my profile to get this product 💌✨,https://youtu.be/O-x2TpmHii0
too,2,9,"AT, CA, CH, DK, IE, NL, NO, SE, US",2695,816.0,These Baby Wolf Cubs Are Too Cute! 🐺❤️ #wolf #greywolf #wolfpack #wolfdog #shorts,https://youtu.be/5VVuxWG68iY
driver,2,7,"AU, CA, CH, DK, GB, NO, US",2028,46.7,Driver Hits Me Off My Bike😳,https://youtu.be/RMo7H9bYM3c
motovlog,2,7,"AU, CA, CH, DK, GB, NO, US",2020,18.0,Driver Hits Me Off My Bike😳,https://youtu.be/RMo7H9bYM3c
motorbikes,2,7,"AU, CA, CH, DK, GB, NO, US",2020,18.0,Driver Hits Me Off My Bike😳,https://youtu.be/RMo7H9bYM3c
moto,2,7,"AU, CA, CH, DK, GB, NO, US",2020,18.0,Driver Hits Me Off My Bike😳,https://youtu.be/RMo7H9bYM3c
off,2,7,"AU, CA, CH, DK, GB, NO, US",2017,70.2,Driver Hits Me Off My Bike😳,https://youtu.be/RMo7H9bYM3c
like,3,5,"AU, CH, GB, NO, US",1797,1308.6,The dog’s like “oh ok you can defend yourself. I’m so proud of you #dog #dogshorts #dogvideos #funny,https://youtu.be/1M_D0ipSqgs
trending,2,6,"AU, CA, DK, GB, NO, US",1729,180.3,Counter-steering EXPLAINED! #shorts #viral #trending #discover #bike #safety,https://youtu.be/nmYyW27G298
check,2,6,"AU, CA, DK, GB, NO, US",1684,139.3,CHECK FOR CONTEXT 😭😭,https://youtu.be/B5784ZhBzzQ
have,2,5,"AU, CH, GB, NO, US",1546,65.8,“PC Parts have arrived 💀” #pcgaming #benchmark #rtx5050 #gtx1080ti,https://youtu.be/8Dzp5oAb5WI
dog,2,5,"AU, CH, GB, NO, US",1352,126.3,The dog’s like “oh ok you can defend yourself. I’m so proud of you #dog #dogshorts #dogvideos #funny,https://youtu.be/1M_D0ipSqgs
superman,2,5,"AU, CH, GB, NO, US",1325,707.9,Is This 1978 Superman Suit Real?! 🤔| Pawn Stars #usa,https://youtu.be/3enDC_flbuU
realized,2,4,"AU, CH, NO, US",1050,102.5,We realized when we grew up 😭,https://youtu.be/VBCvhMMOOSQ
one,2,4,"CH, DK, GB, NO",1050,187.9,Others Riding Bike VS This One ☠️ | #shorts,https://youtu.be/9K_H4sd15z8
build,2,3,"CH, NO, US",570,1308.6,American vs. European home building 🏠 learn how we build so differently! #building #learn #USA #UK,https://youtu.be/jFph1d2WR3s
home,2,2,"NO, US",509,70.2,American vs. European home building 🏠 learn how we build so differently! #building #learn #USA #UK,https://youtu.be/jFph1d2WR3s
dogs,2,2,"CH, US",328,98.0,Dogs are the best friends of humans 🐶 #fyp #doglover #love,https://youtu.be/ONtO174n8QU
biker,2,1,US,278,239.1,Ranking Wildest Biker vs Cops#bikelife#cops#biker,https://youtu.be/6d7e9M4Nqgg
